HKQuantityTypeIdentifierBloodAlcoholContent,BloodAlcoholContent
HKQuantityTypeIdentifierBodyMassIndex,BodyMassIndex
HKQuantityTypeIdentifierHeight,Height
HKQuantityTypeIdentifierBodyMass,BodyMass
HKQuantityTypeIdentifierHeartRate,HeartRate
HKQuantityTypeIdentifierOxygenSaturation,OxygenSaturation
HKQuantityTypeIdentifierBodyFatPercentage,BodyFatPercentage
HKQuantityTypeIdentifierStepCount,StepCount
HKQuantityTypeIdentifierDistanceWalkingRunning,DistanceWalkingRunning
HKQuantityTypeIdentifierBasalEnergyBurned,BasalEnergyBurned
HKQuantityTypeIdentifierActiveEnergyBurned,ActiveEnergyBurned
HKQuantityTypeIdentifierFlightsClimbed,FlightsClimbed
HKQuantityTypeIdentifierAppleExerciseTime,AppleExerciseTime
HKQuantityTypeIdentifierDistanceCycling,DistanceCycling
HKQuantityTypeIdentifierVO2Max,VO2Max
HKQuantityTypeIdentifierRestingHeartRate,RestingHeartRate
HKQuantityTypeIdentifierWalkingHeartRateAverage,WalkingHeartRateAverage
HKQuantityTypeIdentifierHeadphoneAudioExposure,HeadphoneAudioExposure
HKQuantityTypeIdentifierAppleStandTime,AppleStandTime
HKCategoryTypeIdentifierSleepAnalysis,SleepAnalysis
HKCategoryTypeIdentifierAppleStandHour,AppleStandHour
HKCategoryTypeIdentifierMindfulSession,MindfulSession
HKQuantityTypeIdentifierHeartRateVariabilitySDNN,HeartRateVariabilitySDNN
HKQuantityTypeIdentifierDietaryFatTotal,DietaryFatTotal
HKQuantityTypeIdentifierDietaryFatPolyunsaturated,DietaryFatPolyunsaturated
HKQuantityTypeIdentifierDietaryFatMonounsaturated,DietaryFatMonounsaturated
HKQuantityTypeIdentifierDietaryFatSaturated,DietaryFatSaturated
HKQuantityTypeIdentifierDietaryCholesterol,DietaryCholesterol
HKQuantityTypeIdentifierDietarySodium,DietarySodium
HKQuantityTypeIdentifierDietaryCarbohydrates,DietaryCarbohydrates
HKQuantityTypeIdentifierDietaryFiber,DietaryFiber
HKQuantityTypeIdentifierDietarySugar,DietarySugar
HKQuantityTypeIdentifierDietaryEnergyConsumed,DietaryEnergyConsumed
HKQuantityTypeIdentifierDietaryProtein,DietaryProtein
HKQuantityTypeIdentifierDietaryVitaminC,DietaryVitaminC
HKQuantityTypeIdentifierDietaryCalcium,DietaryCalcium
HKQuantityTypeIdentifierDietaryIron,DietaryIron
HKQuantityTypeIdentifierDietaryPotassium,DietaryPotassium
HKQuantityTypeIdentifierDistanceSwimming,DistanceSwimming
HKQuantityTypeIdentifierSwimmingStrokeCount,SwimmingStrokeCount
HKQuantityTypeIdentifierEnvironmentalAudioExposure,EnvironmentalAudioExposure
HKCategoryTypeIdentifierAudioExposureEvent,AudioExposureEvent